1 2118 7
1 761509 6
1 3067 8
1 2147 10
2 20066 9
2 37925 4
2 2930 10
2 7025 9
2 4877 8
2 607 10
2 4679 10
2 35556 9
2 1842212 9
2 6984 8
2 25843 8
2 108314 9
2 2310 10
3 208 6
3 187 8
4 72841 8
4 15260 10
4 191947 10
4 188818 6
4 4933 10
4 19561 10
4 5060 8
4 15055 10
4 44018 6
4 25930 8
4 14955 10
4 69651 8
4 19750 8
4 25747 6
4 358916 10
4 121766 10
4 9971 6
4 121763 10
4 96993 10
4 62986 8
4 908003 8
4 97734 8
4 133220 8
4 137708 10
4 14997 10
4 10164 10
4 151502 8
4 104529 6
4 310272 10
4 204307 10
4 135625 8
4 6621 10
4 3610 6
4 179655 6
4 5145 10
4 7781 8
4 15294 10
4 6519 10
4 15308 10
4 14471 10
5 112217 6
5 168438 6
5 5123 8
5 2285 8
5 168322 10
5 8099 6
6 10867 10
6 91317 10
6 825755 8
6 10893 10
6 9993 8
6 10014 10
6 59144 10
6 1044155 6
7 25867 7
7 10158 8
7 83798 7
7 36980 8
7 124421 10
7 3259 6
7 65569 6
7 56996 6
7 2054830 7
7 8503 9
8 32109 10
8 12482 10
8 4413 10
9 90319 10
9 2492277 10
9 3093889 10
9 816613 8
9 205160 6
10 7372 4
10 26150 10
10 7863 8
10 3206242 10
10 1932053 8
11 8244 10
11 675 8
11 25411 10
12 10783 7
12 56083 7
12 170197 5
12 2280068 6
12 46639 8
12 8470 7
12 23071 7
12 2314 7
12 7175 7
12 58352 6
12 840 8
12 139 8
12 2280068 7
12 17930 7
12 3230 6
13 903 7
13 1008 9
13 8527 10
13 920 10
13 984 6
13 883 10
13 1977 10
14 28085 9
14 2280068 6
14 6899 1
14 4918 6
15 2704 8
15 2961 8
15 2150 6
15 7391 8
15 3067 8
15 1586826 7
15 5162 9
15 19531 7
15 20156 7
15 6488 8
15 8102 7
15 5440 7
15 901022 7
15 25843 7
15 30360 7
15 2228 7
15 6052 9
15 2672821 10
16 5173 8
16 936351 6
16 5179 8
16 8181 6
16 49649 6
17 3105133 10
17 2569212 2
18 137 6
18 3014070 6
18 113311 8
18 11826 10
18 1472 10
19 110715 10
19 968548 8
19 19167 8
19 42307 6
19 3207 4
19 5069 5
19 9390 4
19 25867 6
19 19756 8
20 35834 8
20 2720 10
20 1482 8
20 2110 10
20 3207 10
20 60130 8
20 3514 10
20 1349930 8
20 69661 8
20 319021 8
20 6106 10
21 1182481 7
21 49349 4
21 7397 4
21 19782 7
21 30979 7
21 5119 6
21 46596 9
21 38600 8
21 10163 7
21 2156470 8
21 7170 8
21 14311 7
21 11786 4
21 5835 4
22 7317 6
22 5969 1
22 4926 6
22 34570 9
22 80744 8
22 161381 8
22 3206242 10
22 18362 10
22 15540 2
23 409 8
23 11758 10
